Gene,Chromosome Position,log2FoldChange,padj,Total_Mutations
SIPA1L2,1q42.2,0.782662923,1.36305393414952e-17,15
WSCD2,12q23.3,-1.971283368,2.1966693653092502e-17,15
MAP3K13,3q27.2,0.816081328,3.83995096923422e-17,15
TNRC6A,16p12.1,-0.504257894,6.94365661314676e-17,15
SYMPK,19q13.32,0.518221224,1.73408419767146e-16,15
FNDC1,6q25.3,1.703656028,5.19314615057088e-16,15
LAMC1,1q25.3,-0.831993022,3.62115053678922e-15,15
EGFR,7p11.2,-0.977663318,6.6374516417696204e-15,15
CUL7,6p21.1,0.70036513,7.736443451764751e-15,15
FRYL,4p11,-0.610874532,2.60205459787181e-14,15
POLA1,Xp22.11-p21.3,0.535346714,2.83168769019225e-14,15
DIP2C,10p15.3,-0.676918962,3.27481619169695e-14,15
FHOD3,18q12.2,-1.098084828,5.0889134209333e-14,15
WDR7,18q21.31,-0.470887358,6.01450828730102e-12,15
PIKFYVE,2q34,-0.600461114,6.1452531654294994e-12,15
CDC42BPB,14q32.32,-0.57874652,7.71943177930261e-12,15
NRXN3,14q24.3-q31.1,-1.111910042,2.7192727645715697e-11,15
CNTN6,3p26.3,-1.405485021,1.57219465318806e-10,15
SZT2,1p34.2,-0.367288656,3.60477418981225e-10,15
USF3,3q13.2,-0.542215589,5.1173714678153e-10,15
PRKG2,4q21.21,-1.008420409,1.6481378414639202e-09,15
PLXNB2,22q13.33,0.488484297,2.1126217381505404e-09,15
CDH12,5p14.3,-1.778095828,6.633307146286291e-09,15
HEATR5B,2p22.2,-0.380459633,8.344239888796691e-09,15
TNRC6C,17q25.3,-0.531340882,1.73692142164602e-08,15
NWD1,19p13.11,1.137324652,3.32312318726604e-08,15
TRPS1,8q23.3,0.755007411,6.25185360154818e-08,15
PPEF1,Xp22.13,1.373895568,8.21943652762054e-08,15
KIF5C,2q23.1-q23.2,-0.912713156,7.7411161343567e-07,15
UHRF1BP1L,,-0.363195,1.19219757418984e-06,15
PTPRF,1p34.2,0.424806299,2.96171018421044e-06,15
DOCK2,5q35.1,0.598033947,3.91499324512513e-06,15
ITIH6,Xp11.22,1.330849545,6.73642811013651e-06,15
PCDHGA1,5q31.3,0.63159297,7.29258686521611e-06,15
DMBT1,10q26.13,1.592601301,1.17627170984642e-05,15
NPHP4,1p36.31,0.280032828,3.76741934575031e-05,15
SAMD9L,7q21.2,0.506537598,6.17796308112434e-05,15
PRDM10,11q24.3,-0.210341351,0.000180876,15
CDH26,20q13.33,0.601352572,0.000377079,15
LRRIQ1,12q21.31,-0.667107038,0.000454181,15
HECW2,2q32.3,-0.368160805,0.000597647,15
EPHB1,3q22.2,-0.61271927,0.000787762,15
RBBP6,16p12.1,0.157716043,0.001541534,15
KIAA2026,,-0.258306321,0.001619892,15
STAB1,3p21.1,-0.479811046,0.00190303,15
ACE,17q23.3,-0.333432378,0.002103818,15
ATP11C,Xq27.1,0.238644587,0.002789635,15
DGKD,2q37.1,-0.269656941,0.003731719,15
SMCHD1,18p11.32,0.241380186,0.004448396,15
BPTF,17q24.2,-0.188049715,0.018920327,15
PATJ,1p31.3,-0.217051826,0.027854153,15
BCOR,Xp11.4,0.172890106,0.029042378,15
KIF14,1q32.1,4.492426339,2.7592674952579804e-188,14
ABCA10,17q24.3,-4.039313299,1.15552010444919e-145,14
LEPR,1p31.3,-3.354414963,4.40344347155598e-123,14
BRIP1,17q23.2,2.634834384,5.08604893426365e-105,14
ABCA6,17q24.2-q24.3,-3.264404507,3.8779027496423897e-103,14
CPED1,7q31.31,-3.575596014,1.4897052067688502e-98,14
TSHZ2,20q13.2,-2.659591736,6.91067592930097e-92,14
MYOM1,18p11.31,-3.3948647,9.724352797393531e-88,14
MMRN1,4q22.1,-4.306303997,2.13879838106363e-87,14
UMODL1,21q22.3,4.327954633,2.3400988978304e-75,14
COPA,1q23.2,1.136272331,1.58093213714287e-74,14
RGS22,8q22.2,-3.50111018,5.926194821300941e-67,14
TP53BP2,1q41,1.52096436,4.7059097111785404e-60,14
CKAP5,11p11.2,1.215324422,8.07081642868052e-60,14
IKBKE,1q32.1,1.804816835,8.66402267056911e-57,14
SPTBN1,2p16.2,-1.726533083,6.71249583891439e-52,14
DLC1,8p22,-1.946967981,6.07365088447839e-47,14
KIF20B,10q23.31,1.263090124,8.81722309253605e-47,14
CPSF1,8q24.3,1.143951521,4.1737541381809096e-42,14
PCSK5,9q21.13,-1.909422769,6.60313628418045e-41,14
MAGI2,7q21.11,-1.302633931,1.95418440599929e-39,14
SLCO1C1,12p12.2,-2.341986604,3.30046905767171e-39,14
SBF2,11p15.4,-1.134143245,8.97539432912755e-39,14
PCDHGA3,5q31.3,-2.049352019,1.42345966746818e-37,14
SUPT5H,19q13.2,0.909434669,2.40602120405714e-37,14
PCDHGB6,5q31.3,-1.52137742,3.25943502369535e-37,14
KIAA0319,6p22.3,3.048158072,1.1649030866086099e-36,14
ZEB2,2q22.3,-1.590148664,1.8971005354216598e-36,14
XPOT,12q14.2,0.949532442,5.8159192075302595e-36,14
POLR1A,2p11.2,0.771212491,1.21299063027479e-35,14
SHROOM4,Xp11.22,-1.35591179,3.72167853493415e-34,14
SPG11,15q21.1,-0.857881274,2.45540781994318e-33,14
TOGARAM1,14q21.2,-0.92963115,1.36146826102451e-32,14
GNAS,20q13.32,1.095822129,3.52582262036266e-32,14
ANKRD30A,10p11.21,-4.069443092,8.659543618420929e-30,14
TGS1,8q12.1,0.75916234,1.1498839159874399e-28,14
C5,9q33.2,-1.144584891,1.17341664605527e-28,14
PRX,19q13.2,-1.452244485,2.71218386740989e-28,14
EEA1,12q22,-0.982836261,5.91213194528624e-28,14
MROH1,8q24.3,0.880366141,6.39102293332651e-28,14
KCNQ3,8q24.22,1.938952107,7.51823292043858e-28,14
IARS1,9q22.31,0.808971125,6.34859126743798e-27,14
DAPK1,9q21.33,1.321925858,8.65057836440731e-26,14
GTF3C1,16p12.1,0.565825515,2.83736280894385e-24,14
GLI3,7p14.1,-1.235787652,2.1179243229668402e-23,14
SLC12A5,20q13.12,1.537900726,2.31068039572475e-23,14
CFAP61,20p11.23,-1.265545908,2.18800850544477e-22,14
SMARCC1,3p21.31,0.746663677,1.86649746243667e-21,14
SLC4A2,7q36.1,0.803393344,2.01154376409603e-21,14
SIPA1L3,19q13.13-q13.2,0.852929057,7.30049244439287e-21,14
QRICH2,17q25.1,1.452035428,1.64398436821971e-20,14
MYOF,10q23.33,-0.883153959,5.94905327709414e-20,14
KIF21B,1q32.1,0.948389686,2.5451086606812e-18,14
NEDD4L,18q21.31,-0.801576614,2.6601117986170098e-18,14
ITGB2,21q22.3,1.243148941,8.65677622127528e-18,14
CCDC144A,17p11.2,-2.291459988,2.7819964199416e-17,14
UPF2,10p14,0.556538623,3.9067484320839e-17,14
HTATSF1,Xq26.3,0.5991681,4.20879045720387e-16,14
LRP4,11p11.2,-1.215085422,4.47410847730402e-16,14
COL27A1,9q32,1.142148106,4.1308444055161705e-15,14
PKD1,16p13.3,-0.718034121,1.95364094149091e-14,14
RICTOR,5p13.1,-0.62701158,2.54546736136511e-14,14
NBEAL1,2q33.2,-1.058377832,3.58561895220211e-14,14
ATP11A,13q34,0.721828424,3.5989936961161297e-12,14
ANO2,12p13.31,-1.117997044,1.56584051280361e-11,14
PMFBP1,16q22.2,0.789703777,1.97648964460102e-10,14
POGZ,1q21.3,0.38733465,1.2311794922955502e-09,14
NLRP2,19q13.42,1.517393219,6.525620439679681e-09,14
PREX1,20q13.13,-0.713519553,7.67614074304441e-08,14
COL18A1,21q22.3,0.703999947,8.95666745180241e-08,14
SPTAN1,9q34.11,-0.322677417,1.17860240820203e-07,14
PCDHA10,5q31.3,-0.936727743,1.27710391419687e-06,14
PPFIA2,12q21.31,-0.800152109,2.22641021697446e-06,14
NLGN4X,Xp22.32-p22.31,-0.899633211,2.36941412327484e-06,14
MARK1,1q41,-0.638516854,2.61697284388929e-06,14
WWP2,16q22.1,0.451924976,3.21649850847417e-06,14
TRIOBP,22q13.1,-0.347293684,4.09167345428985e-06,14
SPIDR,8q11.21,0.251603303,7.50577501955577e-06,14
NRXN1,2p16.3,-1.099555391,8.93545835760054e-06,14
RB1CC1,8q11.23,0.309234643,0.000177351,14
ECPAS,9q31.3,-0.243721418,0.000436555,14
HDX,Xq21.1,-0.288603122,0.00073354,14
ZFC3H1,12q21.1,-0.276555605,0.000926671,14
ZMYM4,1p34.3,0.201591169,0.000947194,14
ZRANB3,2q21.3,0.227365419,0.001225406,14
SORCS1,10q25.1,-0.907994924,0.001688547,14
RIC1,9p24.1,-0.233671816,0.002474025,14
SMG8,17q22,0.219237411,0.002579119,14
ADAMTS2,5q35.3,0.365695349,0.00727722,14
DIP2A,21q22.3,0.160877722,0.008208693,14
KIAA0100,,-0.197531884,0.015470217,14
CTNND2,5p15.2,-0.457838552,0.03505605,14
TBC1D31,8q24.13,1.713552238,4.93529622205849e-119,13
SORBS1,10q24.1,-3.743064862,7.014035163047249e-103,13
AKAP12,6q25.1,-3.303562741,1.94470811589298e-89,13
DNMT1,19p13.2,1.617315701,1.3413658719839699e-80,13
MAST4,5q12.3,-1.970383728,3.44100664475296e-75,13
FBN2,5q23.3,4.094190096,1.27707370252594e-74,13
EPRS1,1q41,1.230924211,1.10788177482298e-67,13
TRDN,6q22.31,-5.201459174,6.45735614437183e-67,13
MAST1,19p13.13,3.229851346,3.3529917602916e-65,13
GPRASP1,Xq22.1,-2.194554801,4.99505500298103e-65,13
PCNX1,14q24.2,-1.162394393,4.8964524795931096e-62,13
ENPP2,8q24.12,-2.540842901,6.96974134685596e-61,13
ZNF106,15q15.1,-1.536301262,1.24553368074556e-55,13
GPR158,10p12.1,3.119221299,2.086301204749e-53,13
ATAD5,17q11.2,1.42509805,1.52336601776956e-51,13
AFF1,4q21.3-q22.1,-1.327413248,2.57476528353758e-51,13
SIDT2,11q23.3,-1.161759963,2.2460766551261097e-50,13
TRPM2,21q22.3,1.659960508,7.2684381140435295e-50,13
NCL,2q37.1,0.774657068,1.2136331342399e-49,13
THSD4,15q23,-2.568381163,4.05903775012467e-47,13
GIMAP8,7q36.1,-1.698156893,3.86976308016215e-45,13
GPRASP2,Xq22.1,-1.378436017,4.72329089560894e-45,13
SLC4A4,4q13.3,-2.86611266,5.08506471768343e-41,13
ESYT1,12q13.2,-1.116837964,2.2536700327467e-39,13
ABI3BP,3q12.2,-2.40547117,3.30178873573581e-39,13
TOPBP1,3q22.1,0.929145614,3.66957830844496e-37,13
MELTF,3q29,2.075198091,6.993181537559209e-36,13
AARS1,16q22.1,0.808943802,5.400352631988e-35,13
TCF4,18q21.2,-1.239195619,2.3528198451133e-34,13
TRPM3,9q21.12-q21.13,-2.077725526,3.73746790364413e-34,13
KCNQ5,6q13,2.293681847,1.94794034412764e-32,13
UBA1,Xp11.3,0.735477514,1.4030905707692699e-30,13
KMT2B,19q13.12,0.805549708,1.75084138111759e-29,13
SELP,1q24.2,-2.051574037,4.77501738901767e-28,13
L1CAM,Xq28,2.370296124,5.29540498548431e-27,13
PCDH9,13q21.32,-2.411233952,1.27562129292707e-26,13
SGSM1,22q11.23,-1.548065778,7.52864304473039e-26,13
PPRC1,10q24.32,0.671763474,9.563292023476059e-26,13
GREB1,2p25.1,-2.038586935,3.53695430554183e-24,13
PTPRM,18p11.23,-1.481963306,1.72249158962359e-23,13
SMARCA2,9p24.3,-0.739970979,1.76945399338839e-22,13
PCDHB12,5q31.3,-1.225895544,4.08430707767105e-22,13
CARMIL1,6p22.2,0.850280725,5.728983037788299e-19,13
PCDHGA7,5q31.3,-1.065324759,2.22683466400939e-17,13
ABCC1,16p13.11,0.656256022,3.1681612231893804e-17,13
ARAP3,5q31.3,-0.7957987,8.83756632430047e-17,13
PLEKHG2,19q13.2,0.789372683,2.47520512932162e-16,13
NLGN3,Xq13.1,-0.975432376,2.47520512932162e-16,13
PCDHB2,5q31.3,1.528830835,2.66146309412353e-16,13
EHD1,11q13.1,0.695317728,3.50604169276981e-16,13
KIAA1217,10p12.2-p12.1,-0.649069712,7.63096366277987e-16,13
ULK4,3p22.1,-0.723352912,8.67244754274043e-16,13
ADNP,20q13.13,0.44500305,1.08295649913705e-15,13
PLXNA1,3q21.3,0.628467523,1.45162974503104e-15,13
COL5A2,2q32.2,1.157151824,1.7677574521277502e-15,13
GOLGA3,12q24.33,0.385747635,6.737742826456931e-15,13
NINL,20p11.21,0.805853064,1.1622394314197e-14,13
DOCK9,13q32.3,-0.71304947,1.33945046945802e-14,13
CCDC180,9q22.33,-0.899394739,1.5713450127252e-14,13
FRMPD1,9p13.2,-1.286900179,2.2564790091654302e-14,13
MECOM,3q26.2,-1.095970857,1.20379502735287e-13,13
SEC24B,4q25,-0.470562289,4.05679156201673e-13,13
CHD2,15q26.1,-0.374143601,1.0333706936854698e-11,13
ARHGAP5,14q12,-0.825594488,1.8266039861667898e-11,13
PPL,16p13.3,-0.823040311,6.354479282268519e-11,13
ATP8B2,1q21.3,-0.646157915,1.40158110798216e-10,13
DCDC1,11p14.1-p13,-1.059545525,1.61236337012569e-10,13
TDRD5,1q25.2,1.11252088,1.76003660528704e-10,13
EPHA7,6q16.1,1.51377461,4.43617975885654e-09,13
ITGA8,10p13,-0.925379254,1.0033102184145e-08,13
DSE,6q22.1,-0.62207925,1.23938082669844e-08,13
WDR33,2q14.3,0.239992751,1.36872251980376e-08,13
TIAM2,6q25.2-q25.3,0.616730076,2.29189555945393e-08,13
VIRMA,8q22.1,0.344461271,1.015257584452e-07,13
CLIP1,12q24.31,-0.40829461,1.38141377676922e-07,13
GRIPAP1,Xp11.23,0.3315813,1.84273096183104e-07,13
CEP152,15q21.1,0.383440243,2.57144664901367e-07,13
EIF4A2,3q27.3,-0.312793716,2.77678655016616e-07,13
UBE3C,7q36.3,0.348670785,4.1085543414291e-07,13
ZNF318,6p21.1,0.371004496,4.33517025788631e-07,13
BCAS1,20q13.2,-1.204598659,6.44728522384654e-07,13
ABR,17p13.3,-0.341814408,9.99764005785705e-07,13
PRKCB,16p12.2-p12.1,0.757513585,2.29699921722095e-06,13
TANC1,2q24.2,-0.342293509,2.49790160792402e-06,13
ADGRL3,4q13.1,-1.095567575,9.14436048213492e-06,13
WRN,8p12,-0.338043131,9.5276946214444e-06,13
DYNC1I1,7q21.3,0.760673758,1.61142055739119e-05,13
PLCB1,20p12.3,-0.594545958,4.71371974707966e-05,13
CEP192,18p11.21,0.295943192,0.00028828,13
DOCK8,9p24.3,-0.392153996,0.000333479,13
DGKG,3q27.2-q27.3,0.468398398,0.00059925,13
KDM3A,2p11.2,0.254503062,0.000657711,13
ITGB4,17q25.1,0.517953806,0.000911358,13
SNCAIP,5q23.2,-0.586139601,0.001510918,13
PKP4,2q24.1,-0.188803158,0.00285069,13
CNKSR2,Xp22.12,-0.485331177,0.00323947,13
RC3H1,1q25.1,-0.186335916,0.0039214,13
SLC30A5,5q13.1-q13.2,-0.13705093,0.004715777,13
PCDHB5,5q31.3,-0.569664625,0.005644332,13
MTUS2,13q12.3,-0.480232091,0.006314022,13
NRCAM,7q31.1,0.543514554,0.009764931,13
CAMSAP1,9q34.3,0.186579085,0.010113467,13
PCDHA12,5q31.3,0.619170616,0.011467085,13
RANBP6,9p24.1,-0.191741843,0.011497587,13
GUCY2C,12p12.3,-0.313214729,0.014897524,13
AMBRA1,11p11.2,0.138570332,0.015539936,13
FGD6,12q22,0.21753708,0.015625649,13
CACNA1H,16p13.3,-0.428911912,0.020763072,13
KRIT1,7q21.2,0.112277277,0.028582552,13
SFMBT1,3p21.1,0.161196157,0.0337418,13
RAB3GAP2,1q41,0.146057756,0.035294442,13
ITGA11,15q23,0.30447689,0.046401198,13
EXO1,1q43,4.493267294,2.37885318458356e-209,12
KNL1,15q15.1,3.390841883,4.6528567090639e-159,12
A2ML1,12p13.31,4.72481716,7.056216217654569e-100,12
GABBR2,9q22.33,5.304783016,7.2194735963823895e-99,12
SMC1B,22q13.31,3.659475637,1.84968081611723e-96,12
FANCD2,3p25.3,1.880742206,9.59890150780945e-89,12
ABCB5,7p21.1,-4.487184668,1.41848418615099e-87,12
LIFR,5p13.1,-2.774718766,9.54014822734697e-79,12
APBA2,15q13.1,2.451229151,5.84242638167867e-64,12
ADGRL4,1p31.1,-1.944733105,7.19297825003268e-58,12
DDR2,1q23.3,-2.416060903,2.4773343194894e-53,12
MKRN3,15q11.2,4.234902573,3.18445889789663e-53,12
PDIA5,3q21.1,1.24635151,3.79196974540218e-53,12
NUP205,7q33,1.098867928,8.40518919290934e-53,12
ABCA5,17q24.3,-1.588402403,2.7485333648901098e-49,12
TMEM132E,17q12,3.930146629,5.93401806722952e-49,12
CCDC80,3q13.2,-2.356906995,6.440549487233679e-48,12
PCDHGA9,5q31.3,-1.809502314,2.14798662862169e-46,12
ESR1,6q25.1-q25.2,-3.164852881,3.10868167964542e-46,12
PALM2AKAP2,9q31.3,-1.545541146,4.73008744072453e-46,12
ZNF423,16q12.1,-1.959124,1.07269191488084e-45,12
DSEL,18q22.1,-1.792328486,2.41873024019966e-45,12
ATG2B,14q32.2,-0.977009703,2.50746692972638e-44,12
POLE,12q24.33,1.047106221,5.35752027497915e-44,12
ARHGEF40,14q11.2,-1.272457318,1.5624187353143099e-43,12
DLGAP2,8p23.3,-2.120291881,1.4917702681253198e-40,12
LAMB2,3p21.31,-1.266624627,2.1089409863427598e-40,12
TRHDE,12q21.1,-3.884939843,1.21276632225945e-38,12
ITGA1,5q11.2,-1.444272143,1.3895909888754901e-38,12
TARBP1,1q42.2,1.166112582,6.39037136655935e-36,12
DAAM2,6p21.2,-1.715802436,9.275398916211999e-36,12
ADAMTS1,21q21.3,-1.747739687,9.981660612385469e-36,12
SEL1L3,4p15.2,1.390376703,2.06330539474737e-35,12
DHX9,1q25.3,0.571575369,8.343987522168591e-35,12
DNMBP,10q24.2,-1.203679613,2.04931691485586e-34,12
FAM91A1,8q24.13,0.897473726,7.78432444665004e-34,12
KDR,4q12,-1.244980877,7.454616128546939e-33,12
SRGAP2,1q32.1,0.934102558,9.25681995956686e-33,12
EIF5B,2q11.2,0.842166896,1.05283287800799e-32,12
GANAB,11q12.3,0.647232692,8.18405309885813e-32,12
OGDHL,10q11.23,3.082572259,1.7285905599441202e-31,12
OAS2,12q24.13,1.653102349,4.3964481806160496e-30,12
ZC3H12B,Xq11.2-q12,-1.123472803,5.15076252784102e-29,12
PCDHB9,5q31.3,1.301849174,4.31394479316527e-28,12
JAK3,19p13.11,1.336041028,7.46725545964714e-28,12
MPDZ,9p23,-1.204264574,9.4644868976346e-28,12
CR2,1q32.2,2.909151539,3.10571708971814e-27,12
BAZ1B,7q11.23,0.616441429,3.46622613380138e-27,12
PTPRT,20q12-q13.11,-2.631164568,6.90459849418219e-27,12
FGD5,3p25.1,-1.315186851,1.39887969599045e-26,12
PRTG,15q21.3,-1.650677031,8.17357729743597e-26,12
PEAK1,15q24.3,-0.895486562,8.638125426607861e-25,12
ZZEF1,17p13.2,-0.62168313,9.97522577880276e-25,12
ACVR2A,2q22.3-q23.1,-0.726018175,2.43695468735715e-24,12
PCDHGA2,5q31.3,-1.63404871,3.9104388292197904e-24,12
FCRL3,1q23.1,2.343614003,4.15720933662862e-24,12
PTPN13,4q21.3,-1.124021656,2.03379312516309e-23,12
SMC1A,Xp11.22,0.716475574,9.6035249179198e-22,12
KIF21A,12q12,1.083791233,1.05283967976207e-21,12
SPTBN4,19q13.2,-1.523225776,1.42295557869528e-21,12
ZGRF1,4q25,0.815458181,1.9588696963355102e-21,12
FGFR1,8p11.23,-1.076460139,1.39464175328533e-20,12
PC,11q13.2,-1.335870827,5.77475800917948e-20,12
FAM171A1,10p13,0.916912952,6.71607141874505e-20,12
TTC21B,2q24.3,-0.559157439,3.7775972417500203e-19,12
MBD5,2q23.1,-0.563626244,1.1642546258353899e-18,12
MLH3,14q24.3,-0.449581872,3.3719934203252003e-18,12
AMPD1,1p13.2,-1.864745938,1.2816964433820801e-17,12
DOP1A,6q14.1,-0.729571093,7.03618327299505e-17,12
APOBR,16p12.1,1.31530711,3.36784083994973e-16,12
FMR1,Xq27.3,0.520708047,6.03095094985896e-16,12
KIAA1755,20q11.23,1.237998134,6.56995313865422e-16,12
DOP1B,21q22.12,0.741843322,7.99550274665363e-16,12
ASCC2,22q12.2,0.504218053,7.447190432690571e-15,12
CGNL1,15q21.3,-1.047876707,8.199216213269631e-15,12
ABCC4,13q32.1,1.051653721,8.346336881807391e-15,12
INTS1,7p22.3,0.632849756,3.24277240083356e-14,12
GRIN2C,17q25.1,1.339890766,9.95225511017909e-14,12
MAML2,11q21,-0.69639192,1.69872596526666e-13,12
CNTNAP3,9p12,-1.143262307,3.86443644369047e-13,12
ROCK2,2p25.1,-0.541563605,1.12815662866697e-12,12
INPPL1,11q13.4,0.485801013,1.56506817553571e-12,12
ABCC8,11p15.1,-2.184682243,1.83774445623913e-12,12
PCDHGA12,5q31.3,-0.907375038,4.06858117037155e-12,12
CNTN4,3p26.3-p26.2,-1.157798557,5.59844801247056e-12,12
BMPR2,2q33.1-q33.2,-0.54484991,1.0295119296990498e-11,12
ADAMTS17,15q26.3,1.089363109,1.11815934710168e-11,12
ZNF407,18q22.3,-0.393444035,1.7128245484581798e-11,12
DICER1,14q32.13,-0.51413831,1.7508258850349698e-11,12
FMN1,15q13.3,-0.839969547,2.01805111417015e-11,12
ZKSCAN7,3p21.31,-0.6145539,3.17108591980478e-11,12
SUPT16H,14q11.2,0.375035099,3.87737883925517e-11,12
ATP10D,4p12,-0.548761867,5.964824024258739e-11,12
NRIP1,21q11.2-q21.1,-0.877816694,8.81257733527426e-11,12
PTPRC,1q31.3-q32.1,0.951844553,9.155822054520119e-11,12
CABIN1,22q11.23,0.35982634,1.34054441922123e-10,12
DIAPH2,Xq21.33,-0.630173574,4.94742957723181e-10,12
ALPK2,18q21.31-q21.32,1.009813484,1.29144600059158e-09,12
MAP3K5,6q23.3,-0.628377509,1.4048542225126502e-09,12
STON1,2p16.3,-0.717211414,2.08188704299912e-09,12
NUP153,6p22.3,0.517474134,4.22537227176045e-09,12
CLTC,17q23.1,0.386086492,9.4731637569988e-09,12
PROX1,1q32.3,-1.071632639,1.31704590719073e-08,12
CFAP44,3q13.2,-0.615802462,2.06727444060007e-08,12
THOC2,Xq25,0.349668803,3.20978789572794e-08,12
DOCK5,8p21.2,0.636006756,4.77444706180722e-08,12
PCDHGB1,5q31.3,1.027280157,8.153732445193e-08,12
TTC21A,3p22.2,-0.575514166,8.79955619598532e-08,12
PJA1,Xq13.1,-0.499416272,9.13235977490014e-08,12
CNTNAP1,17q21.2,-0.524834421,2.06509720725375e-07,12
TBX18,6q14.3,-0.86785546,3.56090801051456e-07,12
RREB1,6p24.3,-0.310280482,5.23117983844931e-07,12
CCDC88A,2p16.1,0.568088003,5.30383482651843e-07,12
PCDHB8,5q31.3,1.096074271,8.54568450412744e-07,12
RAPGEF1,9q34.13,-0.322555295,8.69301055162686e-07,12
GNPTAB,12q23.2,0.325827075,1.34462967357067e-06,12
DENND1A,9q33.3,0.275398322,1.6587666987324e-06,12
MAMLD1,Xq28,0.638787811,3.47356287665005e-06,12
PTCH1,9q22.32,-0.471699149,4.81012021742472e-06,12
OBSL1,2q35,0.465932952,5.44203616014638e-06,12
NLRP3,1q44,-0.59625011,7.35868537692033e-06,12
MUC6,11p15.5,-1.569869134,7.49919299728076e-06,12
PRRC2B,9q34.13,-0.400554369,7.70806402038233e-06,12
UNC13B,9p13.3,-0.361069736,1.47997054524195e-05,12
ATP13A4,3q29,-1.138046886,2.10617177459782e-05,12
SON,21q22.11,-0.242238757,3.05957066915754e-05,12
RFC1,4p14,-0.260161356,3.85872021752413e-05,12
ITSN2,2p23.3,-0.296877871,4.32446378310485e-05,12
NOTCH3,19p13.12,0.439862351,4.36050163077487e-05,12
MEFV,16p13.3,0.664095941,6.84732508428296e-05,12
SERPINE1,7q22.1,0.693685175,0.00010343,12
CADPS2,7q31.32,-0.510521834,0.000196928,12
SLC8A1,2p22.1,-0.404568813,0.00025459,12
CACNA2D3,3p21.1-p14.3,-0.521240992,0.000256005,12
PLCG1,20q12,0.249036363,0.000274014,12
TRPV2,17p11.2,0.482809532,0.000274274,12
ADGRL2,1p31.1,-0.456225832,0.000308438,12
INSR,19p13.2,-0.281079794,0.000309476,12
RPTOR,17q25.3,0.233987977,0.000429968,12
AP3B1,5q14.1,-0.161207793,0.000604186,12
ZNF217,20q13.2,0.280413182,0.000787524,12
SLC9A8,20q13.13,-0.191890314,0.000793338,12
LMTK2,7q21.3,0.198575138,0.000850107,12
KDM5A,12p13.33,0.255940865,0.00088147,12
ROBO2,3p12.3,-0.75907306,0.00109512,12
TEX14,17q22,0.576323896,0.001608772,12
MYO6,6q14.1,0.287859546,0.003643638,12
CSPG4,15q24.2,0.61414737,0.005189982,12
PCDHA11,5q31.3,0.656286371,0.00841618,12
EXPH5,11q22.3,0.309457717,0.010624164,12
GEMIN5,5q33.2,-0.145361567,0.011072484,12
OGDH,7p13,-0.227692736,0.013955264,12
STXBP5,6q24.3,-0.202657242,0.014049355,12
NCKAP1,2q32.1,0.183585132,0.014670955,12
C3,19p13.3,-0.397894427,0.014701131,12
GPS2,17p13.1,-0.271552142,0.01549163,12
MTHFD1,14q23.3,-0.241199197,0.016365902,12
RP1L1,8p23.1,-0.356966397,0.01897224,12
CAMSAP2,1q32.1,0.176662708,0.021520145,12
COL4A3,2q36.3,-0.42644771,0.02191457,12
ZSWIM8,10q22.2,-0.144338661,0.031127359,12
NSD3,8p11.23,0.198332934,0.034719024,12
ADAMTS16,5p15.32,0.529680433,0.035138567,12
ELMO1,7p14.2-p14.1,-0.214364729,0.047759031,12
KIFC1,6p21.32,4.241313437,1.1985165037228102e-271,11
SPAG5,17q11.2,3.282547447,8.76560958016831e-207,11
FANCI,15q26.1,2.406755625,2.70255608666494e-143,11
NFE2L3,7p15.2,2.6045216,2.3331118146238098e-119,11
CCDC150,2q33.1,2.328300934,2.44051478230931e-118,11
LDB2,4p15.32,-2.488772054,8.18610438961577e-107,11
KIF1A,2q37.3,6.254701224,6.8287624889660705e-105,11
SYNPO2,4q26,-3.182528802,3.40747324424695e-100,11
MTHFD1L,6q25.1,2.01955887,1.3253409913157e-99,11
CEMIP,15q25.1,3.452355656,3.48628739645924e-97,11
FAM13C,10q21.1,-2.475570236,6.19026917124089e-96,11
ALDH1L1,3q21.3,-4.707351586,9.43486943916941e-94,11
WDR76,15q15.3,1.653548512,1.21531557052883e-78,11
ADAM19,5q33.3,2.346739442,1.20336405566681e-76,11
MEN1,11q13.1,1.038589818,8.02220852289943e-68,11
PER2,2q37.3,-1.806488898,6.46848474691779e-66,11
ARHGEF15,17p13.1,-2.151019848,1.50128131764219e-65,11
ZBED4,22q13.33,1.191331537,3.0911731012062e-65,11
ARHGAP24,4q21.23-q21.3,-1.638631939,4.07664107512641e-65,11
TRPC6,11q22.1,-1.599506602,1.37187836119339e-63,11
YEATS2,3q27.1,1.069595076,1.0411324826995801e-61,11
PGM5,9q21.11,-3.02627446,1.9314811587230603e-61,11
RBL1,20q11.23,1.436621653,4.0034840614540405e-60,11
USP53,4q26,-1.616392578,4.4484189834029504e-60,11
NUP210,3p25.1,2.232261781,4.00833449520055e-59,11
TRPM8,2q37.1,4.595854636,2.01307417457001e-58,11
